population	pc1	pc2	pc3	pc4
AFR	88.25318467730877	-21.84891481560606	0.14507106154018604	0.08298954761474273
AMR	-36.617297786401444	-11.321752072139983	-18.44733583890474	107.60335919295082
EAS	-53.61398846960897	-52.58229227712546	-10.02548287491324	-8.252652155914896
EUR	-8.605212696736725	53.774492165355355	-26.15918082504556	-5.377984519505792
SAS	-22.282367560841717	22.81264967681701	39.39280776096342	0.5293072742836111
